ComplaintID,Timestamp,Category,ComplaintText,Sentiment,CleanedText,VADER_Sentiment,VADER_Compound
75,2025-01-10 10:05:00,Billing,My payment was declined for no reason. My card works fine everywhere else.,Negative,payment declined reason card work fine everywhere else,Positive,0.2023
76,2025-01-11 13:00:00,Product,Great value for the price. Works as expected.,Positive,great value price work expected,Positive,0.7579
77,2025-01-12 16:15:00,Delivery,The driver refused to bring the item up to my apartment and left it in the lobby.,Negative,driver refused bring item apartment left lobby,Negative,-0.2732
78,2025-01-13 19:40:00,Service,The online chat agent ended the conversation before my problem was solved.,Negative,online chat agent ended conversation problem solved,Negative,-0.1531
79,2025-01-14 11:10:00,Product,"The material feels very cheap and flimsy, I doubt it will last long.",Negative,material feel cheap flimsy doubt last long,Negative,-0.3612
80,2025-01-15 09:25:00,Billing,You guys are making it impossible to cancel my subscription.,Negative,guy making impossible cancel subscription,Negative,-0.25
81,2025-01-16 12:50:00,Product,The advertised features do not work as described. This is false advertising.,Negative,advertised feature work described false advertising,Neutral,0.0
82,2025-01-17 15:00:00,Delivery,My package has been stuck in transit for 10 days.,Negative,package stuck transit day,Negative,-0.25
83,2025-01-18 18:20:00,Service,I am very happy with the quick and efficient service I received.,Positive,happy quick efficient service received,Positive,0.7579
84,2025-01-19 10:40:00,Product,"The item looks good, but has a very strong chemical smell.",Negative,item look good strong chemical smell,Positive,0.7351
85,2025-01-20 14:00:00,Billing,The refund amount I received was incorrect. It was less than what I was told.,Negative,refund amount received incorrect less told,Neutral,0.0
86,2025-01-21 17:30:00,Product,"The product is okay, but not worth the high price tag.",Negative,product okay worth high price tag,Positive,0.4215
87,2025-01-22 09:00:00,General Inquiry,What are the dimensions of this item?,Neutral,dimension item,Neutral,0.0
88,2025-01-23 11:45:00,Service,It took 4 emails to get a simple question answered.,Negative,took email get simple question answered,Neutral,0.0
89,2025-01-24 16:00:00,Delivery,The item was well-packaged and arrived in perfect condition.,Positive,item wellpackaged arrived perfect condition,Positive,0.5719
90,2025-01-25 19:10:00,Product,The software is not intuitive at all. Very steep learning curve.,Negative,software intuitive steep learning curve,Neutral,0.0
91,2025-01-26 12:30:00,Billing,I was charged for a free trial. This is a scam.,Negative,charged free trial scam,Negative,-0.296
92,2025-01-27 15:15:00,Product,The product broke during the first use. Extremely poor quality.,Negative,product broke first use extremely poor quality,Negative,-0.7346
93,2025-01-28 10:00:00,Service,The representative hung up on me mid-sentence.,Negative,representative hung midsentence,Neutral,0.0
94,2025-01-29 13:20:00,Delivery,The delivery service you use is notoriously bad in my area. Please offer other options.,Negative,delivery service use notoriously bad area please offer option,Negative,-0.296
95,2025-01-30 17:40:00,Product,A key feature stopped working after a software update.,Negative,key feature stopped working software update,Negative,-0.2263
96,2025-01-31 09:50:00,Billing,The invoice is confusing and difficult to understand.,Negative,invoice confusing difficult understand,Negative,-0.5267
97,2025-02-01 11:00:00,Product,This was a gift and the recipient loved it!,Positive,gift recipient loved,Positive,0.7783
98,2025-02-02 14:35:00,Service,There is no phone number listed anywhere for customer support. How am I supposed to get help?,Negative,phone number listed anywhere customer support supposed get help,Positive,0.6908
99,2025-02-03 18:00:00,Delivery,My order was canceled without any explanation.,Negative,order canceled without explanation,Neutral,0.0
100,2025-02-04 10:20:00,Product,"The product does its job, but it's nothing special.",Neutral,product job nothing special,Negative,-0.3089
101,2025-02-05 13:10:15,Product,The 'stainless steel' started rusting after a month.,Negative,stainless steel started rusting month,Neutral,0.0
102,2025-02-05 16:55:10,Service,Your online FAQ section did not answer my question.,Negative,online faq section answer question,Neutral,0.0
103,2025-02-06 09:00:05,Delivery,The delivery person was rude and just threw the package on the ground.,Negative,delivery person rude threw package ground,Negative,-0.4588
104,2025-02-06 11:30:00,Billing,I'm being billed for two accounts but I only have one.,Negative,im billed two account one,Neutral,0.0
105,2025-02-07 15:15:30,Product,"This is an excellent product, great craftsmanship and it looks beautiful.",Positive,excellent product great craftsmanship look beautiful,Positive,0.9136
106,2025-02-08 13:20:45,Service,The support team was quick to respond and solved my issue. Great job!,Positive,support team quick respond solved issue great job,Positive,0.836
107,2025-02-09 10:45:00,Delivery,My package was ripped open when it arrived.,Negative,package ripped open arrived,Neutral,0.0
108,2025-02-10 19:11:50,Product,The XL size fits like a Medium. Your sizing chart is completely wrong.,Negative,xl size fit like medium sizing chart completely wrong,Positive,0.1548
109,2025-02-11 11:00:25,Billing,"My coupon code didn't work at checkout, even though it was valid.",Negative,coupon code didnt work checkout even though valid,Neutral,0.0
110,2025-02-12 16:30:00,General Inquiry,Is this product compatible with Windows 11?,Neutral,product compatible window,Neutral,0.0
111,2025-02-13 20:15:18,Product,"The phone case doesn't fit my phone properly, it's too loose.",Negative,phone case doesnt fit phone properly loose,Negative,-0.5283
112,2025-02-14 12:43:45,Service,Your website crashed while I was trying to place an order.,Negative,website crashed trying place order,Neutral,0.0
113,2025-02-15 08:30:00,Delivery,Fast and efficient delivery. Arrived sooner than expected.,Positive,fast efficient delivery arrived sooner expected,Positive,0.4215
114,2025-02-16 14:10:30,Billing,I cancelled my service but I'm still getting billed.,Negative,cancelled service im still getting billed,Negative,-0.25
115,2025-02-17 17:35:00,Product,The instructions were just a series of blurry pictures. Totally unhelpful.,Negative,instruction series blurry picture totally unhelpful,Negative,-0.1027
116,2025-02-18 09:40:15,Service,The agent seemed like they were reading from a script and didn't listen to my actual problem.,Negative,agent seemed like reading script didnt listen actual problem,Positive,0.5801
117,2025-02-19 13:25:00,Delivery,The tracking link you sent me doesn't work.,Negative,tracking link sent doesnt work,Neutral,0.0
118,2025-02-20 18:10:55,Product,Exceeded my expectations. The quality for this price is unbeatable.,Positive,exceeded expectation quality price unbeatable,Neutral,0.0
119,2025-02-21 21:20:00,Billing,Asking for my bank details to process a refund feels insecure.,Neutral,asking bank detail process refund feel insecure,Negative,-0.4215
120,2025-02-22 10:55:30,Service,Four days and still no reply to my support email. Terrible service.,Negative,four day still reply support email terrible service,Negative,-0.1027
121,2025-02-23 15:30:00,Product,The product is advertised as 'silent' but it makes a constant humming noise.,Negative,product advertised silent make constant humming noise,Neutral,0.0
122,2025-02-24 11:15:40,Delivery,I paid for express shipping and it took over a week to arrive.,Negative,paid express shipping took week arrive,Neutral,0.0
123,2025-02-25 16:40:00,Product,The handle broke off my mug the first time I used it.,Negative,handle broke mug first time used,Negative,-0.4215
124,2025-02-26 19:20:10,Service,"The agent was very friendly, but ultimately couldn't solve my problem.",Negative,agent friendly ultimately couldnt solve problem,Positive,0.5948
125,2025-02-27 10:10:00,Billing,The refund process was smooth and easy. Appreciate it.,Positive,refund process smooth easy appreciate,Positive,0.6808
126,2025-02-28 14:55:00,Product,The wood finish scratches way too easily.,Negative,wood finish scratch way easily,Positive,0.34
127,2025-03-01 12:10:15,Delivery,My package was delivered to the wrong address.,Negative,package delivered wrong address,Negative,-0.4767
128,2025-03-02 09:20:00,Service,Your app keeps crashing every time I open it.,Negative,app keep crashing every time open,Neutral,0.0
129,2025-03-03 17:45:00,Product,"The product is functional, but the design is very ugly.",Neutral,product functional design ugly,Negative,-0.5106
130,2025-03-04 20:15:30,Billing,I found a hidden fee in the terms and conditions. Very sneaky.,Negative,found hidden fee term condition sneaky,Negative,-0.2263
131,2025-03-05 11:45:00,Delivery,The item was just left on my doorstep in plain sight for anyone to steal.,Negative,item left doorstep plain sight anyone steal,Negative,-0.4939
132,2025-03-06 13:30:00,Product,"The box was sealed, but a crucial part was missing inside.",Negative,box sealed crucial part missing inside,Negative,-0.296
133,2025-03-07 16:10:45,Service,I have to repeat my issue every time I get transferred to a new agent.,Negative,repeat issue every time get transferred new agent,Neutral,0.0
134,2025-03-08 18:20:00,Product,The 'waterproof' phone case leaked and damaged my phone.,Negative,waterproof phone case leaked damaged phone,Negative,-0.6369
135,2025-03-09 10:40:00,Billing,Just a query about the payment options available.,Neutral,query payment option available,Neutral,0.0
136,2025-03-10 15:10:00,Delivery,"Excellent delivery service, the driver called me before arriving.",Positive,excellent delivery service driver called arriving,Positive,0.5719
137,2025-03-11 09:50:20,Product,The device gets extremely hot to the touch after a few minutes.,Negative,device get extremely hot touch minute,Neutral,0.0
138,2025-03-12 12:35:00,Service,Your customer support is clearly outsourced and they have no idea what they're doing.,Negative,customer support clearly outsourced idea theyre,Positive,0.6597
139,2025-03-13 14:25:55,Product,The app requires way too many permissions. Why does a calculator app need my location?,Negative,app requires way many permission calculator app need location,Neutral,0.0
140,2025-03-14 17:40:00,Billing,The discount code I had was not applied to the final bill.,Negative,discount code applied final bill,Neutral,0.0
141,2025-03-15 11:10:00,Product,The materials used feel premium and durable. Very happy with this purchase.,Positive,material used feel premium durable happy purchase,Positive,0.5719
142,2025-03-16 10:20:10,Delivery,Why do you use a courier that gets such terrible reviews? They lost my package.,Negative,use courier get terrible review lost package,Negative,-0.6597
143,2025-03-17 13:55:00,Service,The website is so slow and pages take forever to load.,Negative,website slow page take forever load,Neutral,0.0
144,2025-03-18 16:30:30,Product,The actual product looks nothing like the promotional photos.,Negative,actual product look nothing like promotional photo,Negative,-0.2755
145,2025-03-19 19:10:00,Billing,It's been two weeks and my refund is still 'processing'.,Negative,two week refund still processing,Neutral,0.0
146,2025-03-20 09:30:00,Product,Item arrived with a huge scratch across the front.,Negative,item arrived huge scratch across front,Positive,0.3182
147,2025-03-21 11:50:00,Service,Your company doesn't seem to care about its customers once the sale is made.,Negative,company doesnt seem care customer sale made,Negative,-0.3875
148,2025-03-22 15:15:15,Delivery,The delivery driver was exceptionally helpful and friendly.,Positive,delivery driver exceptionally helpful friendly,Positive,0.763
149,2025-03-23 18:40:00,General Inquiry,What is your return address?,Neutral,return address,Neutral,0.0
150,2025-03-24 10:10:00,Product,"It's an okay product for the price, I guess.",Neutral,okay product price guess,Positive,0.2263
151,2025-03-25 14:40:00,Billing,You charged my card after I explicitly cancelled the service. This is theft.,Negative,charged card explicitly cancelled service theft,Negative,-0.4215
152,2025-03-26 17:20:25,Service,Your email support team just sends copy-pasted responses that don't help.,Negative,email support team sends copypasted response dont help,Positive,0.1134
153,2025-03-27 09:45:00,Product,The plastic components are very brittle and one has already snapped.,Negative,plastic component brittle one already snapped,Neutral,0.0
154,2025-03-28 12:10:00,Delivery,The package was left with a neighbor without my permission.,Negative,package left neighbor without permission,Neutral,0.0
155,2025-03-29 16:45:00,Product,The battery life is amazing. It lasts for days!,Positive,battery life amazing last day,Positive,0.5859
156,2025-03-30 19:10:45,Service,"The agent I spoke with, John, was fantastic. Give him a raise!",Positive,agent spoke john fantastic give raise,Positive,0.5574
157,2025-03-31 11:30:00,Billing,I was told the total was $50 but my card was charged $65.,Negative,told total card charged,Negative,-0.2023
158,2025-04-01 13:50:10,Product,The product I received was clearly used and repackaged. It had fingerprints all over it.,Negative,product received clearly used repackaged fingerprint,Positive,0.4019
159,2025-04-02 15:10:00,General Inquiry,Is this item available for pickup at the Mumbai store?,Neutral,item available pickup mumbai store,Neutral,0.0
160,2025-04-03 10:40:00,Delivery,My order of frozen goods was left outside and everything melted.,Negative,order frozen good left outside everything melted,Positive,0.4404
161,2025-04-04 09:10:00,Product,The 'easy-to-assemble' furniture took me 4 hours and the holes didn't line up.,Negative,easytoassemble furniture took hour hole didnt line,Neutral,0.0
162,2025-04-05 18:25:00,Service,I'm stuck in a loop with your automated phone system. It's infuriating.,Negative,im stuck loop automated phone system infuriating,Negative,-0.6597
163,2025-04-06 14:15:00,Billing,The price on the shelf was different from the price at the register.,Negative,price shelf different price register,Neutral,0.0
164,2025-04-07 11:40:00,Product,The color is much duller in person than it appeared online.,Negative,color much duller person appeared online,Negative,-0.4019
165,2025-04-08 16:35:30,Delivery,I paid for gift wrapping and it arrived unwrapped in a plain brown box.,Negative,paid gift wrapping arrived unwrapped plain brown box,Positive,0.4404
166,2025-04-09 19:10:00,Product,"This is a well-made, high-quality item. Worth every penny.",Positive,wellmade highquality item worth every penny,Positive,0.2263
167,2025-04-10 10:20:10,Service,Your website login system is broken. It won't accept my password.,Negative,website login system broken wont accept password,Negative,-0.6467
168,2025-04-11 12:50:00,Billing,Why was I enrolled in auto-renewal without my consent?,Negative,enrolled autorenewal without consent,Negative,-0.1695
169,2025-04-12 15:10:00,Product,The item is not compatible with my other devices as advertised.,Negative,item compatible device advertised,Neutral,0.0
170,2025-04-13 17:40:00,General Inquiry,Do you offer international shipping?,Neutral,offer international shipping,Neutral,0.0
171,2025-04-14 09:55:00,Delivery,The delivery person damaged my property while making the delivery.,Negative,delivery person damaged property making delivery,Negative,-0.4404
172,2025-04-15 11:40:50,Product,The product has a major design flaw that makes it difficult to use.,Negative,product major design flaw make difficult use,Negative,-0.3612
173,2025-04-16 14:30:00,Service,I'm very dissatisfied with the resolution offered by your support team.,Negative,im dissatisfied resolution offered support team,Neutral,0.0258
174,2025-04-17 18:10:00,Product,This is the third time I've had to replace this product. The quality is consistently poor.,Negative,third time ive replace product quality consistently poor,Negative,-0.4767
175,2025-04-18 10:15:00,Billing,My account was charged a late fee even though I paid on time.,Negative,account charged late fee even though paid time,Negative,-0.2023
176,2025-04-19 13:10:00,Product,Works perfectly. Does exactly what it says on the tin.,Positive,work perfectly exactly say tin,Positive,0.6369
177,2025-04-20 16:25:00,Delivery,My package was supposed to arrive today but now the delivery date has been pushed back a week.,Negative,package supposed arrive today delivery date pushed back week,Neutral,0.0
178,2025-04-21 19:50:00,Service,The customer service agent was talking over me and not listening.,Negative,customer service agent talking listening,Neutral,0.0
179,2025-04-22 11:20:00,Product,The material is very thin and tore the first time I wore it.,Negative,material thin tore first time wore,Neutral,0.0
180,2025-04-23 09:35:00,Billing,I can't find where to cancel my subscription on your confusing website.,Negative,cant find cancel subscription confusing website,Neutral,-0.0413
181,2025-04-24 12:40:00,Product,The promised features are only available if you buy an expensive add-on.,Negative,promised feature available buy expensive addon,Positive,0.3612
182,2025-04-25 15:10:00,Delivery,"The package arrived, but it was the wrong item.",Negative,package arrived wrong item,Negative,-0.4767
183,2025-04-26 18:30:00,Service,Your support team provided a quick and effective solution. Thank you!,Positive,support team provided quick effective solution thank,Positive,0.8625
184,2025-04-27 10:50:00,Product,"The product is average. It's not bad, but it's not great either.",Neutral,product average bad great either,Positive,0.1531
185,2025-04-28 14:10:00,Billing,"The refund I received was only a partial refund, but I returned the entire order.",Negative,refund received partial refund returned entire order,Neutral,0.0
186,2025-04-29 17:40:00,Product,The product stopped charging after two weeks.,Negative,product stopped charging two week,Negative,-0.2263
187,2025-04-30 09:10:00,General Inquiry,What is the warranty coverage on this?,Neutral,warranty coverage,Neutral,0.0
188,2025-05-01 11:55:00,Service,The agent promised a callback but I never received one.,Negative,agent promised callback never received one,Positive,0.3612
189,2025-05-02 16:10:00,Delivery,"The packaging was superb, really protected the item well.",Positive,packaging superb really protected item well,Positive,0.8643
190,2025-05-03 19:20:00,Product,The user interface is clunky and outdated.,Negative,user interface clunky outdated,Neutral,0.0
191,2025-05-04 12:40:00,Billing,This company's billing practices are predatory and dishonest.,Negative,company billing practice predatory dishonest,Negative,-0.5719
192,2025-05-05 15:25:00,Product,The adhesive on the back is not strong enough and it keeps falling off.,Negative,adhesive back strong enough keep falling,Positive,0.4019
193,2025-05-06 10:10:00,Service,The hold time was surprisingly short and the agent was very efficient.,Positive,hold time surprisingly short agent efficient,Positive,0.6124
194,2025-05-07 13:30:00,Delivery,I received an empty box. The item was stolen.,Negative,received empty box item stolen,Negative,-0.6124
195,2025-05-08 17:50:00,Product,A critical component failed and now the entire unit is useless.,Negative,critical component failed entire unit useless,Negative,-0.8126
196,2025-05-09 09:40:00,Billing,Your prices are much higher than your competitors for the same product.,Negative,price much higher competitor product,Neutral,0.0
197,2025-05-10 11:10:00,Product,"I'm very pleased with my purchase, will buy again.",Positive,im pleased purchase buy,Positive,0.4404
198,2025-05-11 14:45:00,Service,There's no option to speak to a supervisor when the agent is unhelpful.,Negative,there option speak supervisor agent unhelpful,Neutral,0.0
199,2025-05-12 18:10:00,Delivery,The driver called to say he was 'nearby' and then showed up two hours later.,Negative,driver called say nearby showed two hour later,Neutral,0.0
200,2025-05-13 10:30:00,Product,"The product is okay, but the setup was a real hassle.",Neutral,product okay setup real hassle,Positive,0.2263
201,2025-05-14 14:20:15,Delivery,My order #12345 has been stuck in 'processing' for 5 days.,Negative,order stuck processing day,Negative,-0.25
202,2025-05-14 18:35:10,Product,The new software update removed features that I used all the time. Why?,Negative,new software update removed feature used time,Neutral,0.0
203,2025-05-15 09:22:05,Service,Your customer service is the worst I have ever experienced. No exaggeration.,Negative,customer service worst ever experienced exaggeration,Negative,-0.6249
204,2025-05-15 11:40:00,Billing,The final price included taxes and fees that were not shown upfront.,Negative,final price included tax fee shown upfront,Neutral,0.0
205,2025-05-16 15:55:30,Product,The quality of this leather bag is amazing! It smells and feels so premium.,Positive,quality leather bag amazing smell feel premium,Positive,0.5859
206,2025-05-17 13:10:45,Service,Kudos to the support team for being so responsive on social media.,Positive,kudos support team responsive social medium,Positive,0.8176
207,2025-05-18 10:45:00,Delivery,The delivery estimate was accurate and the driver was professional.,Positive,delivery estimate accurate driver professional,Neutral,0.0
208,2025-05-19 19:31:50,Product,The parts don't fit together properly. It's impossible to assemble.,Negative,part dont fit together properly impossible assemble,Negative,-0.2755
209,2025-05-20 11:20:25,Billing,My gift card balance was wiped out for no reason.,Negative,gift card balance wiped reason,Positive,0.4404
210,2025-05-21 16:50:00,General Inquiry,Just checking the status of my refund request.,Neutral,checking status refund request,Neutral,0.0
211,2025-05-22 20:15:18,Product,This 'smart' device is actually very dumb. The features are poorly implemented.,Negative,smart device actually dumb feature poorly implemented,Negative,-0.1531
